"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","cond_wall","cond_floor","cond_windows","cond_stairway","X_35a","X_38a"
"2338",160000,3000,3000,1,2,9,2,0,2,2,2,2,2
"2339",125000,99999,99999,1,2,9,3,0,2,2,2,2,2
"2340",50000,99999,99999,1,8,8,3,0,2,2,2,8,8
"2341",81000,99999,99999,1,1,9,3,0,2,2,2,2,1
"2342",159000,99999,99999,1,2,8,5,0,2,2,2,8,8
"2343",46380,1700,1700,1,8,3,3,4,2,2,2,2,2
"2344",44000,700,700,1,2,2,4,0,2,0,0,1,2
"2345",25000,1500,1500,2,2,2,3,0,2,2,2,2,2
"2346",190000,99999,99999,1,1,9,3,2,2,2,2,2,2
"2347",29092,1500,1500,1,2,9,4,0,2,2,2,2,2
"2348",60000,1200,1200,1,2,9,1,0,2,2,2,2,1
"2349",135000,2000,2000,1,2,9,2,0,2,2,2,2,2
"2350",160000,99999,99999,1,2,9,8,0,2,2,2,2,2
"2351",20000,2000,2000,1,2,9,2,0,2,2,2,2,2
"2352",60000,99999,99999,1,1,9,2,0,2,2,2,2,2
"2353",34222,852,852,1,2,9,3,2,0,0,0,1,2
"2354",40000,800,800,1,1,8,4,0,0,2,0,2,2
"2355",40644,832,832,1,1,5,4,2,0,2,0,1,2
"2356",55000,865,865,1,1,9,1,0,2,2,2,2,2
"2357",103000,617,617,1,2,9,1,0,2,2,2,2,2
"2358",5000,307,307,1,2,9,3,0,2,2,2,2,1
"2359",50000,495,495,1,2,5,5,2,2,2,2,2,2
"2360",34872,308,308,1,2,9,2,2,2,2,2,2,2
"2361",61000,99999,99999,1,2,9,5,0,2,2,2,2,2
"2362",52000,99999,99999,1,2,9,5,0,2,2,2,2,2
"2363",118800,1000,1000,1,2,9,5,0,2,2,2,2,8
"2364",13032,326,326,1,2,9,5,0,2,2,2,2,2
"2365",7536,130,130,1,2,9,5,2,2,2,2,1,2
"2366",28000,425,425,1,2,9,5,2,2,2,2,1,2
"2367",42000,850,850,1,2,9,2,2,2,2,2,2,2
"2368",30688,219,219,1,1,5,5,4,2,2,2,1,1
"2369",48000,1100,1100,1,1,9,3,2,2,2,2,2,2
"2370",4416,104,104,1,2,5,4,0,2,2,2,2,1
"2371",52000,1100,1100,1,2,9,2,4,2,2,2,2,2
"2372",19200,600,600,1,2,3,4,0,2,2,2,1,2
"2373",40188,392,392,1,2,9,3,0,2,2,2,2,2
"2374",17200,600,300,1,2,9,3,2,2,2,2,1,2
"2375",13200,200,200,1,2,5,2,0,2,2,2,2,2
"2376",3000,724,724,1,2,9,2,2,2,2,2,2,2
"2377",50400,1330,1330,1,2,3,5,4,2,2,2,2,2
"2378",44138,153,153,1,2,9,5,0,2,2,2,2,1
"2379",10000,882,882,1,2,2,5,2,2,2,2,2,1
"2380",54752,1016,1016,1,2,8,5,0,2,2,2,8,8
"2381",132000,1700,1700,1,2,4,5,4,2,2,2,2,1
"2382",10008,216,216,1,2,2,3,0,2,2,2,2,2
"2383",9060,546,546,1,2,9,8,4,2,2,2,1,1
"2384",52000,400,400,1,8,5,3,2,2,2,2,2,1
"2385",26200,720,720,1,2,2,2,2,2,2,2,2,2
"2386",60048,500,500,1,2,3,3,2,2,2,2,2,2
"2387",56200,600,300,1,2,9,3,2,2,2,2,1,2
"2388",2400,100,100,1,2,9,1,4,2,2,2,2,2
"2389",15000,186,186,1,2,9,4,2,2,2,2,1,2
"2390",6000,185,185,1,1,2,4,0,2,2,2,2,2
"2391",12900,240,240,1,2,3,4,0,2,2,2,2,2
"2392",10560,132,132,1,2,9,3,0,2,2,2,2,2
"2393",19348,257,257,1,2,9,3,2,2,2,2,1,2
"2394",30000,576,576,1,2,9,6,4,2,2,2,1,2
"2395",18180,1200,700,1,2,9,5,0,2,2,2,1,2
"2396",9999999,3850,3850,1,2,9,4,0,2,2,2,2,2
