"","hhinc","X_30a","X_31b","X_26a","X_25c","X_32b","X_24a","condition_wall","condition_floors","condition_windows","condition_stairways","X_35a","X_38a"
"11932",25700,600,276,0,0,0,3,4,2,2,2,0,0
"11933",36000,550,550,0,0,0,5,2,2,2,2,0,0
"11934",8000,99999,99999,0,0,0,6,0,2,2,2,0,0
"11935",7000,528,528,0,0,0,2,4,2,2,2,0,0
"11936",51000,1263,1263,0,0,0,4,2,2,2,2,0,3
"11937",12696,525,525,0,0,0,5,4,2,2,2,0,0
"11938",15040,422,422,0,0,2,3,0,2,2,2,0,3
"11939",103500,99999,99999,0,0,0,5,4,2,2,2,0,0
"11940",136500,99999,99999,0,0,0,5,4,2,2,2,0,0
"11941",9440,800,800,0,0,0,3,4,2,2,2,0,0
"11942",95000,1200,1200,0,0,0,6,4,0,2,2,0,0
"11943",96000,975,975,0,0,0,3,4,2,2,2,0,3
"11944",67500,1000,1000,0,0,0,5,4,2,2,2,0,0
"11945",60000,1400,1400,0,0,0,3,0,2,2,2,0,3
"11946",29600,99999,99999,0,0,0,3,4,2,2,2,0,0
"11947",23800,99999,99999,0,0,2,6,2,2,2,2,0,3
"11948",30300,375,375,0,0,0,6,4,2,2,2,3,0
"11949",76200,1600,99998,0,0,0,3,0,2,2,2,0,0
"11950",13010,460,460,0,0,0,2,4,2,2,2,0,0
"11951",60000,99999,99999,0,0,0,5,2,2,2,2,3,3
"11952",14640,750,750,0,0,0,4,4,2,2,2,0,0
"11953",38300,99999,99999,0,0,0,8,4,0,2,2,0,0
"11954",19000,3106,2894,0,0,0,3,4,2,2,2,0,0
"11955",25000,99999,99999,0,0,0,6,4,2,2,2,0,0
"11956",23652,610,99998,0,0,0,3,4,2,2,2,0,0
"11957",152000,99999,99999,0,0,0,5,4,2,2,2,0,0
"11958",6672,215,0,0,0,0,5,4,2,2,2,0,0
"11959",39800,600,600,0,0,0,3,4,2,2,2,0,0
"11960",435120,99999,99999,0,0,0,3,4,2,2,2,0,0
"11961",59350,99999,99999,0,0,0,3,4,2,2,2,3,3
"11962",35000,725,725,0,0,0,4,2,2,2,2,3,3
"11963",53000,1300,1300,0,0,0,4,4,2,2,2,0,0
"11964",45000,99999,99999,0,0,0,6,4,2,2,2,0,0
"11965",100000,471,471,0,0,0,5,0,2,2,2,0,3
"11966",27000,700,700,0,0,0,4,4,2,2,2,0,0
"11967",6716,720,230,0,0,0,7,2,2,2,2,0,3
"11968",100000,2002,2002,0,0,0,6,4,2,2,2,0,0
"11969",80000,99999,99999,0,0,2,4,4,2,2,2,0,0
"11970",66800,99999,99999,0,0,0,6,4,0,2,0,0,0
"11971",85000,99999,99999,0,0,0,7,4,2,2,2,0,0
"11972",45000,1068,1068,0,0,0,1,4,2,2,2,0,0
"11973",38000,99999,99999,0,0,0,4,4,2,2,2,0,0
"11974",25000,430,430,0,0,0,1,0,2,2,2,0,0
"11975",20000,750,750,0,0,0,5,4,2,2,2,0,3
"11976",60000,760,760,0,0,0,5,4,2,2,2,0,0
"11977",152513,99999,99999,0,0,0,5,0,2,2,2,0,0
"11978",6924,531,531,0,0,0,4,4,2,2,2,0,0
"11979",30000,580,0,0,0,0,3,2,2,2,2,3,0
"11980",28840,725,725,0,0,0,4,4,2,2,2,0,3
"11981",55200,550,99998,0,0,0,4,4,2,2,2,0,0
"11982",120000,99999,99999,0,0,0,6,4,2,2,2,0,0
"11983",51000,519,519,0,0,0,3,4,2,2,2,0,0
"11984",3432,137,68,0,0,0,4,4,2,2,0,0,0
"11985",24000,700,700,0,0,0,3,4,2,2,2,3,3
"11986",402120,99999,99999,0,0,0,7,4,2,2,2,3,3
"11987",59000,580,580,0,0,0,1,4,0,2,0,0,0
"11988",20000,425,425,0,0,0,3,4,2,2,2,0,0
"11989",42700,99999,99999,0,0,0,8,4,2,2,2,0,0
"11990",8500,198,0,0,0,0,3,0,2,2,2,0,3
"11991",17000,99999,99999,0,0,0,6,2,0,2,2,0,0
"11992",47500,600,600,0,0,0,4,4,2,2,2,3,0
"11993",48600,99999,99999,0,0,0,3,4,2,2,2,0,0
"11994",19500,360,360,0,0,0,1,4,6,2,2,0,0
"11995",33000,99999,99999,0,0,0,8,2,0,2,0,0,0
"11996",89500,99999,99999,0,0,0,6,4,2,2,2,0,0
"11997",32400,99999,99999,0,0,0,8,4,2,2,2,0,0
"11998",126878,3106,2894,0,0,0,8,4,2,2,2,0,0
"11999",70900,850,850,0,0,0,3,4,2,2,2,0,0
"12000",18000,600,600,0,0,2,6,4,2,2,2,0,0
"12001",22000,650,650,0,0,0,3,4,2,2,2,0,3
"12002",24000,99999,99999,0,0,0,6,4,2,2,2,0,0
"12003",17123,99999,99999,0,0,0,8,0,0,2,2,0,0
"12004",165000,1200,99998,0,0,0,3,0,2,2,2,0,0
"12005",15828,416,416,0,0,0,2,2,2,2,2,0,0
"12006",39272,900,900,0,0,2,4,0,2,2,2,3,3
"12007",172000,99999,99999,0,0,0,7,4,2,2,2,0,0
"12008",9000,99999,99999,0,0,0,3,4,2,2,2,0,0
"12009",19000,550,550,0,0,0,3,2,2,2,2,0,0
"12010",11360,681,200,0,0,0,3,2,2,2,2,3,3
"12011",1500,145,99998,0,0,0,4,0,2,2,2,3,0
"12012",31000,850,850,0,0,0,4,4,2,2,2,0,0
"12013",51700,280,280,0,0,2,4,2,2,2,2,3,0
"12014",7000,99999,99999,0,0,0,4,4,2,2,2,0,0
"12015",70000,99999,99999,0,0,0,7,4,2,2,2,0,0
"12016",20000,500,99998,0,0,0,2,0,2,2,2,0,0
"12017",32000,900,900,0,0,0,1,0,2,2,2,0,0
"12018",60000,750,750,0,0,0,4,4,2,2,2,0,0
"12019",70000,99999,99999,0,0,0,4,0,2,2,2,0,0
"12020",10788,99999,99999,0,0,0,5,0,0,2,2,0,0
"12021",32000,500,99998,0,0,0,3,2,2,2,2,0,0
"12022",975,650,99998,0,0,0,3,0,0,2,2,0,0
"12023",33200,99999,99999,0,0,0,5,4,0,2,2,0,3
"12024",395120,99999,99999,0,0,0,2,4,2,2,2,0,0
"12025",72100,99999,99999,0,0,0,5,4,2,2,2,0,0
"12026",13500,1700,99998,0,0,2,4,4,2,2,2,3,0
"12027",72000,1108,1108,0,0,0,6,4,0,2,0,0,0
"12028",999999,99999,99999,0,0,0,5,4,2,2,2,0,0
"12029",20000,300,300,0,0,0,4,4,2,2,2,0,0
"12030",999999,300,300,5,0,0,1,4,2,2,2,0,0
"12031",23480,900,900,0,0,0,5,4,0,2,2,0,0
"12032",29000,99999,99999,0,0,0,4,0,2,2,2,3,0
"12033",32600,99999,99999,0,0,0,4,2,2,2,2,3,0
"12034",21200,500,500,0,0,2,3,4,2,2,2,0,0
"12035",38840,99999,99999,0,0,0,4,4,0,2,2,0,0
"12036",35000,915,915,0,0,0,5,4,2,2,2,0,0
"12037",39500,625,625,0,0,2,4,4,2,2,2,0,0
"12038",101000,99999,99999,0,0,0,6,4,2,2,2,0,0
"12039",148000,99999,99999,0,0,0,8,4,2,2,2,0,0
"12040",7788,700,700,0,0,0,4,4,2,2,2,0,0
"12041",34000,99999,99999,0,0,2,4,4,0,2,2,3,0
"12042",32000,99999,99999,0,0,0,3,4,2,2,2,0,0
"12043",35000,600,600,0,0,0,3,4,2,2,2,0,0
"12044",25000,99999,99999,0,0,0,3,4,2,2,2,0,0
"12045",70000,678,99998,0,0,0,3,0,2,2,2,0,0
"12046",58000,99999,99999,0,0,0,5,4,2,2,2,0,0
"12047",35000,436,436,0,0,0,3,4,2,2,2,0,0
"12048",15000,550,550,0,0,0,5,4,2,2,2,0,0
"12049",47000,741,741,0,0,0,5,2,2,2,2,0,0
"12050",28000,522,522,0,0,0,4,4,2,2,2,0,3
"12051",28000,600,600,0,0,0,3,4,2,2,2,0,0
"12052",25000,1000,1000,0,0,0,1,4,2,2,2,0,0
"12053",54600,750,750,0,0,0,3,4,2,2,2,0,0
"12054",100700,99999,99999,0,0,0,3,2,2,2,2,0,0
"12055",64000,458,458,0,0,0,5,4,2,2,2,0,0
"12056",8350,450,138,0,0,2,3,0,2,2,2,3,3
"12057",80000,1600,1600,0,0,0,5,4,2,2,2,0,0
"12058",45000,750,99998,0,0,0,1,0,2,2,2,0,0
"12059",41500,975,975,0,0,0,3,4,2,2,2,0,0
"12060",25000,525,525,0,0,0,2,2,2,2,2,0,3
"12061",22000,550,550,0,0,0,3,4,2,2,2,0,0
"12062",30376,668,668,0,0,2,4,4,2,2,2,0,0
"12063",999999,600,600,0,0,0,5,4,2,2,2,0,0
"12064",59000,99999,99999,0,0,2,2,4,2,2,2,0,0
"12065",99300,1000,99998,0,0,0,5,0,2,2,2,0,0
"12066",59400,99999,99999,0,0,0,5,4,2,2,2,0,0
"12067",54000,1563,1563,0,0,0,3,0,2,2,2,0,0
"12068",61050,99999,99999,0,0,0,5,0,0,2,2,0,0
"12069",19000,150,150,0,0,0,4,4,2,2,2,0,0
"12070",12040,875,99998,0,0,0,3,0,2,2,2,0,0
"12071",20000,403,403,0,0,0,4,4,2,2,2,0,0
"12072",33000,400,400,0,0,0,6,4,2,2,2,0,0
"12073",107000,99999,99999,0,0,0,5,2,2,2,2,0,0
"12074",336107,99999,99999,0,0,0,2,0,2,2,2,0,0
"12075",32000,500,500,0,0,0,4,4,2,2,2,3,0
"12076",-8000,950,950,0,0,0,3,0,2,2,2,0,3
"12077",40500,99999,99999,0,0,0,1,4,2,2,2,0,0
"12078",104500,99999,99999,0,0,0,4,4,2,2,2,0,0
"12079",90500,99999,99999,0,0,0,5,4,2,2,2,0,0
"12080",41500,443,443,0,0,0,4,4,2,2,2,0,0
"12081",42000,374,374,0,0,0,4,0,2,2,2,0,0
"12082",43000,360,99998,0,0,0,1,0,2,2,2,0,0
"12083",130000,99999,99999,0,0,0,5,2,2,2,2,3,0
"12084",40000,525,300,0,0,0,3,4,2,2,2,3,0
"12085",38000,750,750,0,0,0,4,4,2,2,2,0,0
"12086",165000,99999,99999,0,0,0,8,4,0,2,2,0,3
"12087",140000,99999,99999,0,0,0,3,0,2,2,2,0,0
"12088",8000,750,750,0,0,0,4,4,2,2,2,0,0
"12089",12420,575,575,0,0,0,3,2,2,2,2,0,3
"12090",8760,440,440,0,0,0,3,4,2,2,2,0,0
"12091",12800,99999,99999,0,0,0,5,4,2,2,2,0,0
"12092",51000,680,680,0,0,0,5,2,2,2,2,3,0
"12093",19150,619,619,0,0,0,4,2,4,2,4,0,3
"12094",92000,800,800,0,0,0,6,4,2,2,2,0,0
"12095",999999,775,99998,0,0,0,3,4,2,2,2,0,0
"12096",24000,400,400,0,0,0,4,4,2,2,2,0,0
"12097",7992,1062,99998,0,0,0,3,4,2,2,2,0,0
"12098",112600,99999,99999,0,0,0,6,4,2,2,2,0,0
"12099",36000,576,99998,0,0,0,4,2,2,2,2,3,0
"12100",10000,600,165,0,0,0,5,4,2,2,2,3,0
"12101",37000,904,904,0,0,0,1,4,2,2,2,0,0
"12102",34000,700,99998,0,0,0,2,0,2,2,2,0,0
"12103",7680,600,350,0,0,0,4,0,2,2,2,3,3
"12104",20000,150,150,0,0,0,3,4,2,2,2,0,0
"12105",15888,452,452,0,0,0,1,4,2,2,2,0,3
"12106",43600,578,578,0,0,0,3,2,2,2,2,0,3
"12107",6696,625,625,0,0,0,4,4,2,2,2,0,0
"12108",48000,99999,99999,0,0,0,5,4,2,2,2,0,0
"12109",21500,450,450,0,0,0,1,4,2,2,2,3,3
"12110",32000,99999,99999,0,0,0,6,4,2,2,2,0,0
"12111",63100,525,525,0,0,0,1,0,2,2,0,0,0
"12112",8244,400,400,0,0,0,5,4,2,2,2,3,0
"12113",106000,99999,99999,0,0,0,6,4,2,2,2,0,0
"12114",50000,600,600,0,0,0,3,0,2,2,2,3,3
"12115",24000,900,454,0,0,0,6,6,2,2,2,3,0
"12116",54000,666,666,0,0,0,4,4,2,2,0,3,0
"12117",10000,600,600,0,0,0,2,4,2,2,2,0,0
"12118",65700,800,800,0,0,0,3,4,2,2,2,0,0
"12119",42000,650,650,0,0,0,4,4,2,2,2,0,0
"12120",74500,1000,1000,0,0,0,4,4,2,2,2,0,0
"12121",9556,540,99998,0,0,0,4,4,2,2,2,3,0
"12122",35000,700,700,0,0,0,5,2,2,2,2,0,3
"12123",86872,99999,99999,0,0,0,4,4,2,2,2,0,0
"12124",6838,786,236,0,0,0,4,4,2,2,2,0,0
"12125",51000,750,750,0,0,0,5,4,0,0,0,0,0
"12126",11900,99999,99999,0,0,0,3,4,2,2,2,0,3
"12127",40600,925,925,0,0,0,4,4,2,2,0,0,0
"12128",25000,600,600,0,0,0,2,4,2,2,2,3,0
"12129",67970,850,850,0,0,0,5,4,2,2,2,0,0
"12130",5568,163,99998,0,0,0,3,0,2,2,2,3,3
"12131",52500,627,627,0,0,0,4,2,2,2,2,0,0
"12132",6018,550,170,0,0,0,4,4,2,2,2,0,0
"12133",2896,97,99998,0,0,0,5,2,2,2,2,3,0
"12134",999999,166,166,0,0,0,3,4,2,2,2,0,0
"12135",6755,199,199,0,0,0,3,4,2,2,2,0,0
"12136",95000,99999,99999,0,0,0,8,4,2,2,2,0,0
"12137",22776,850,350,0,0,0,5,6,2,2,2,3,3
"12138",57000,99999,99999,0,0,0,8,4,2,2,0,0,0
"12139",11500,226,80,0,0,0,5,4,2,2,2,0,3
"12140",35000,550,550,0,0,0,4,2,2,2,2,3,0
"12141",4548,302,165,0,0,0,2,4,2,2,2,3,0
"12142",13104,291,291,0,0,0,5,4,2,2,2,0,0
"12143",77000,99999,99999,0,0,0,7,4,2,2,2,0,0
"12144",59600,99999,99999,0,0,0,6,4,2,2,2,0,0
"12145",25000,420,420,0,0,0,3,4,2,2,2,0,0
"12146",30000,750,750,0,0,0,2,0,0,2,2,0,0
"12147",-250,550,550,0,0,0,3,4,2,2,0,0,0
"12148",999999,180,180,0,0,0,4,0,2,2,2,0,0
"12149",10000,255,160,0,0,0,2,4,2,2,2,0,0
